,Parameter,Criteria excluded,Number of criteria excluded,% of criteria excluded,Shifts in rankings,Euclidean distance,Correlation
0,0,[],0,0.0,0,0.0,1.0
5,5,"['$C_{7}$', '$C_{8}$']",2,6.25,4,0.028,0.9286
10,10,"['$C_{5}$', '$C_{6}$', '$C_{7}$', '$C_{8}$']",4,12.5,6,0.0631,0.8929
15,15,"['$C_{5}$', '$C_{6}$', '$C_{7}$', '$C_{8}$', '$C_{19}$']",5,15.625,6,0.0931,0.8929
20,20,"['$C_{2}$', '$C_{5}$', '$C_{6}$', '$C_{7}$', '$C_{8}$', '$C_{9}$', '$C_{19}$']",7,21.875,6,0.0975,0.8929
25,25,"['$C_{2}$', '$C_{3}$', '$C_{5}$', '$C_{6}$', '$C_{7}$', '$C_{8}$', '$C_{9}$', '$C_{19}$']",8,25.0,8,0.1051,0.8214
30,30,"['$C_{2}$', '$C_{3}$', '$C_{5}$', '$C_{6}$', '$C_{7}$', '$C_{8}$', '$C_{9}$', '$C_{19}$', '$C_{28}$', '$C_{29}$']",10,31.25,8,0.1621,0.8214
35,35,"['$C_{2}$', '$C_{3}$', '$C_{5}$', '$C_{6}$', '$C_{7}$', '$C_{8}$', '$C_{9}$', '$C_{13}$', '$C_{19}$', '$C_{28}$', '$C_{29}$']",11,34.375,8,0.1569,0.8214
40,40,"['$C_{2}$', '$C_{3}$', '$C_{5}$', '$C_{6}$', '$C_{7}$', '$C_{8}$', '$C_{9}$', '$C_{13}$', '$C_{19}$', '$C_{28}$', '$C_{29}$']",11,34.375,8,0.1569,0.8214
45,45,"['$C_{2}$', '$C_{3}$', '$C_{5}$', '$C_{6}$', '$C_{7}$', '$C_{8}$', '$C_{9}$', '$C_{13}$', '$C_{19}$', '$C_{28}$', '$C_{29}$']",11,34.375,8,0.1569,0.8214
50,50,"['$C_{2}$', '$C_{3}$', '$C_{5}$', '$C_{6}$', '$C_{7}$', '$C_{8}$', '$C_{9}$', '$C_{13}$', '$C_{19}$', '$C_{28}$', '$C_{29}$']",11,34.375,8,0.1569,0.8214
